FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LC_LA,LC_LO,RDNMADR_NM,LNM_ADDR,FCLTY_INFO_DC,LAST_UPDT_DE
100세약국,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.53325958,126.903741,서울특별시 영등포구 양평로 24,서울특별시 영등포구 당산동6가 217-4,동물약국,20221130
100코달리 와인바,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.56330525,127.016417,서울특별시 중구 다산로38길 11,서울특별시 중구 신당동 292-152,애견카페,20221130
1층메디컬약국,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.45304289,126.901712,서울특별시 금천구 시흥대로 214,서울특별시 금천구 시흥동 889-8,동물약국,20221130
1층이화약국,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.5665905,127.024082,서울특별시 성동구 왕십리로 410,서울특별시 성동구 하왕십리동 1070,동물약국,20221130
21세기동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.52831582,126.999196,서울특별시 용산구 보광로 46,서울특별시 용산구 보광동 259-1,일반동물병원,20221130
21C 세계로약국,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.54204619,126.840751,서울특별시 강서구 화곡로 173,서울특별시 강서구 화곡동 1064-4,동물약국,20221130
24시 강서 젠틀리동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.55904001,126.820063,서울특별시 강서구 마곡중앙1로 72,서울특별시 강서구 마곡동 747,일반동물병원,20221130
24시 굿케어동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.48000009,126.956867,서울특별시 관악구 남부순환로 1861,서울특별시 관악구 봉천동 1673-21,일반동물병원,20221130
24시 글로리 동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.47674386,126.898256,서울특별시 금천구 시흥대로 483,서울특별시 금천구 독산동 145-13,일반동물병원,20221130
24시 동물응급의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.59532179,127.079577,서울특별시 중랑구 망우로 247,서울특별시 중랑구 중화동 207,일반동물병원,20221130
24시 명동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.50156787,126.847162,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,일반동물병원,20221130
24시 산들산들 동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.55097463,126.956497,서울특별시 마포구 마포대로16길 7,서울특별시 마포구 아현동 424-14,일반동물병원,20221130
24시 서울 탑 동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.51774297,126.853643,서울특별시 양천구 중앙로 237,서울특별시 양천구 신정동 1182-11,일반동물병원,20221130
24시 스마트동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.52069647,127.029989,서울특별시 강남구 도산대로 213,서울특별시 강남구 신사동 587-13,일반동물병원,20221130
24시 시유동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.52000492,126.969872,서울특별시 용산구 이촌로64길 24,서울특별시 용산구 이촌동 302-88,일반동물병원,20221130
24시 신도림S동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.50688385,126.884037,서울특별시 구로구 경인로 619-3,서울특별시 구로구 신도림동 435-10,일반동물병원,20221130
24시 안박동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.56011704,126.856339,서울특별시 강서구 양천로 510,서울특별시 강서구 등촌동 628-13,일반동물병원,20221130
24시 애니동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.58399292,127.019824,서울특별시 성북구 보문로 99,서울특별시 성북구 보문동5가 3-1,일반동물병원,20221130
24시 지구촌 동물메디컬 센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.49878906,126.884786,서울특별시 구로구 구로중앙로31길 30,서울특별시 구로구 구로동 505-17,일반동물병원,20221130
24시 청담우리 동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.51449135,127.052853,서울특별시 강남구 삼성로 614,서울특별시 강남구 삼성동 70-6,일반동물병원,20221130
24시 SNC 동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.4974084,127.038878,서울특별시 강남구 논현로 416,서울특별시 강남구 역삼동 727-8,일반동물병원,20221130
24시루시드동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.60958992,127.030683,서울특별시 강북구 월계로 3,서울특별시 강북구 미아동 42-11,일반동물병원,20221130
24시센트럴동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.5586754,127.033737,서울특별시 성동구 고산자로 207,서울특별시 성동구 행당동 318-36,일반동물병원,20221130
24시스마트동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.59978536,126.918127,서울특별시 은평구 은평로 93,서울특별시 은평구 응암동 91-5,일반동물병원,20221130
24시아프리카동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.55820284,126.844923,서울특별시 강서구 공항대로 335,서울특별시 강서구 등촌동 664-1,일반동물병원,20221130
24시연동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.54293761,126.842277,서울특별시 강서구 화곡로 191,서울특별시 강서구 화곡동 1060-30,일반동물병원,20221130
24시예담동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.60958089,126.916793,서울특별시 은평구 연서로 122,서울특별시 은평구 역촌동 7-15,일반동물병원,20221130
24시예스동물병원,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.5071157,127.009873,서울특별시 서초구 잠원로 24,서울특별시 서초구 반포동 20-45,일반동물병원,20221130
24시잠실ON동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.51156036,127.079181,서울특별시 송파구 올림픽로 76,서울특별시 송파구 잠실동 175-6,일반동물병원,20221130
24시지구촌동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,37.49878906,126.884786,서울특별시 구로구 구로중앙로31길 30,서울특별시 구로구 구로동 505-17,일반동물병원,20221130
24시OK동물병원,반려동물업,반려의료,동물병원,서울특별시,중구,37.49556174,127.049817,서울특별시 강남구 도곡로51길 4,서울특별시 강남구 역삼동 766-20,"일반동물병원, 매일 21:00~09:00 입원동물만 관리(응급진료~VIP동물의료센터 청담점 연계진료)",20221130
24시SD동물영상의료센터,반려동물업,반려의료,동물병원,서울특별시,중구,37.56478,127.02471,서울특별시 중구 왕십리로 407,서울특별시 중구 신당동 855,일반동물병원,20221130
25시동물병원,반려동물업,반려의료,동물병원,서울특별시,중구,37.64777726,127.077579,서울특별시 노원구 한글비석로8길 16,서울특별시 노원구 중계동 363,일반동물병원,20221130
25시동물의료센터,반려동물업,반려의료,동물병원,서울특별시,중구,37.50553777,127.089412,서울특별시 송파구 삼전로 80,서울특별시 송파구 삼전동 5-3,일반동물병원,20221130
2층스타약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.63528107,126.917656,서울특별시 은평구 통일로 1034,서울특별시 은평구 진관동 62,동물약국,20221130
2층은약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.50975909,126.963859,서울특별시 동작구 현충로 75,서울특별시 동작구 흑석동 1-3,동물약국,20221130
2층종로약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.61962267,126.921523,서울특별시 은평구 통일로 856,서울특별시 은평구 불광동 311-13,동물약국,20221130
2층하늘약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.57014164,126.903832,서울특별시 마포구 월드컵북로 230,서울특별시 마포구 중동 64-25,동물약국,20221130
2Cats,반려동물업,반려의료,동물병원,서울특별시,중구,37.57182943,126.986787,서울특별시 종로구 인사동길 11,서울특별시 종로구 인사동 146,애견카페,20221130
331멍발소,반려동물업,반려의료,동물병원,서울특별시,중구,37.5850119,127.041494,서울특별시 동대문구 제기로20길 34-1,서울특별시 동대문구 제기동 331,강아지미용,20221130
365 마음동물병원,반려동물업,반려의료,동물병원,서울특별시,중구,37.49627786,126.829996,서울특별시 구로구 오리로 1286,서울특별시 구로구 궁동 170-11,일반동물병원,20221130
365 종로약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.57028867,127.057409,서울특별시 동대문구 전농로 60-1,서울특별시 동대문구 답십리동 258-6,동물약국,20221130
365구생약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.6112522,126.928734,서울특별시 은평구 통일로 739,서울특별시 은평구 대조동 6-9,동물약국,20221130
365그린약국,반려동물업,반려의료,동물병원,서울특별시,중구,37.53152152,126.846532,서울특별시 강서구 강서로 43,서울특별시 강서구 화곡동 343-52,동물약국,20221130
365동물병원,반려동물업,반려의료,동물병원,서울특별시,중구,37.66297575,127.046351,서울특별시 도봉구 방학로 54,서울특별시 도봉구 방학동 713-35,일반동물병원,20221130
